Question,"Fall, Year 1","Spring, Year 1","Elective, Year 2",Currently Taking,Not Interested,Finance,Equity Research,Banking,Management,Asset Management,Financial Investments & Markets,Sales & Trading,Strategy,Economics,Operations,Real Estate,Corporate Finance,Accounting,Social Innovation & Impact,Marketing,Brand Management,Product Management,Data Analytics,Business Development,Venture Capital,Investment Management,Markets & Instruments,EMT,Entrepreneurship,Innovation,Leadership & Change Management,Healthcare Administration,IOMS,Investment Banking,Business Analytics,Consulting,Social Enterprise,"What comes to mind when you hear the phrase ""sharing economy""?",Source
Does not teach programming,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Taking a technology product from idea to launch,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Planned specialization,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p14"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citibikes! And Lyft! And airbnb! The future,"mba_feedback_4.pdf, p14"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p15"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_4.pdf, p15"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It is a buzzowrd for learning,"mba_feedback_4.pdf, p15"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Does not teach programming,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p16"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,"mba_feedback_4.pdf, p16"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An economic system based on shared resources with the use technologies/communities,"mba_feedback_4.pdf, p16"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Does not teach programming,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Taking a technology product from idea to launch,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p17"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,"mba_feedback_4.pdf, p17"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloud,"mba_feedback_4.pdf, p17"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Planned specialization,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"mba_feedback_4.pdf, p18"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p18"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Taking a technology product from idea to launch,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p19"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"mba_feedback_4.pdf, p19"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratization of resources,"mba_feedback_4.pdf, p19"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p20"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"mba_feedback_4.pdf, p20"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet enabled devices,"mba_feedback_4.pdf, p20"
Technical basics course,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Does not teach programming,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Taking a technology product from idea to launch,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Planned specialization,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p21"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Communism,"mba_feedback_4.pdf, p21"
Technical basics course,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Does not teach programming,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Taking a technology product from idea to launch,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Planned specialization,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"mba_feedback_4.pdf, p22"
Sharing economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hopefully the future of humanity - much more efficient use of assets. Uber/Lyft, AitBnB, Citibike","mba_feedback_4.pdf, p22"
